Release Month  Release Date	Release Year	Movie	Budget ($M)	Domestic ($M)	Worldwide ($M)
3	21	2014	Divergent	85	149.681744	266.681744
9	28	2012	Hotel Transylvania	85	148.313048	359.222014
11	21	2007	Enchanted	85	127.706877	340.384141
7	20	2007	I Now Pronounce You Chuck and Larry	85	119.72528	185.708462
6	8	2007	Ocean's Thirteen	85	117.144465	311.744465
12	25	2009	It's Complicated	85	112.735375	224.614744
11	20	1998	Enemy of the State	85	111.549836	250.649836
9	29	2006	Open Season	85	85.105259	189.901703
11	4	2011	Tower Heist	85	78.04657	153.470352
11	22	2000	102 Dalmatians	85	66.941559	66.941559
3	30	2012	Mirror Mirror	85	64.935167	168.611991
12	8	2006	The Holiday	85	63.28	205.190324
6	16	2006	The Fast and the Furious: Tokyo Drift	85	62.61551	157.794205
12	9	2005	Memoirs of a Geisha	85	57.010853	161.510853
3	16	2001	Enemy at the Gates	85	51.396781	96.971293
6	18	1993	Last Action Hero	85	50.016394	137.298489
9	26	2003	The Rundown	85	47.641743	80.831893
11	23	2011	Arthur Christmas	85	46.462469	149.655855
7	30	2010	Cats & Dogs: The Revenge of Kitty Galore	85	45.539292	114.979922
11	13	1998	Meet Joe Black	85	44.650003	44.650003
2	8	2002	Collateral Damage	85	40.048332	78.353508
3	15	2002	Showtime	85	37.948765	78.948765
6	30	1995	Judge Dredd	85	34.687912	113.487912
3	2	2007	Zodiac	85	33.080084	83.080084
8	13	2010	Scott Pilgrim vs. The World	85	31.611316	48.08976
3	28	2003	The Core	85	31.11126	74.132631
5	9	1997	Father's Day	85	28.68108	35.68108
6	14	2002	Scooby-Doo	84	153.294164	276.294164
7	28	2000	Nutty Professor II: The Klumps	84	123.307945	166.307945
7	19	2013	RED 2	84	53.26256	137.16256
6	23	2006	Click	82.5	137.355633	237.555633
12	15	2006	Charlotte's Web	82.5	82.985708	143.985708
2	14	2008	Jumper	82.5	81.168265	223.113205
7	11	2008	Hellboy 2: The Golden Army	82.5	75.986503	160.388063
5	27	2005	The Longest Yard	82	158.11946	190.320568
8	13	2010	The Expendables	82	103.068524	268.268174
11	17	2000	The 6th Day	82	34.543701	96.024898
5	23	2003	Bruce Almighty	81	242.704995	483.473962
3	23	2012	The Hunger Games	80	408.010692	684.510692
5	21	1996	Mission: Impossible	80	180.981886	457.697994
6	18	1992	Batman Returns	80	162.833635	266.824291
5	7	1999	The Mummy	80	155.385488	416.385488
5	19	2006	Over the Hedge	80	155.01934	336.002981
6	21	2002	Lilo & Stitch	80	145.771527	245.8
5	8	1998	Deep Impact	80	140.464664	349.464664
7	12	2013	Grown Ups 2	80	133.668525	247.023808
3	11	2005	Robots	80	128.200012	260.700012
2	19	2010	Shutter Island	80	128.012934	296.831073
12	12	2003	Something's Gotta Give	80	124.685242	266.685242
11	26	2008	Four Christmases	80	120.14604	163.54604
6	27	1997	Face/Off	80	112.276146	241.2
12	25	2008	Bedtime Stories	80	110.101975	218.357961
7	12	2002	The Road to Perdition	80	104.054514	183.354514
2	11	2011	Just Go With It	80	103.028109	214.974953
2	14	2003	Daredevil	80	102.543518	182.782518
9	26	2008	Eagle Eye	80	101.440743	178.066569
6	6	1997	Con Air	80	101.117573	224.117573
12	17	2010	Yogi Bear 3D	80	100.246011	202.284317
12	25	2003	Cold Mountain	80	95.632614	161.632614
1	15	2010	The Book of Eli	80	94.835059	158.750817
11	26	1997	Flubber	80	92.993801	177.993801
7	23	1999	The Haunting	80	91.188905	180.188905
11	15	1996	Space Jam	80	90.463534	250.2
2	10	2006	The Pink Panther	80	82.226474	158.926474
7	8	2011	Zookeeper	80	80.360866	170.485247
12	12	2008	The Day the Earth Stood Still	80	79.366978	233.066978
8	8	1997	Conspiracy Theory	80	76.11899	142.783718
6	12	1998	Six Days, Seven Nights	80	74.339294	164.8
5	24	2002	Spirit: Stallion of the Cimarron	80	73.21531	106.51531
6	8	2001	Swordfish	80	69.772969	147.080413
4	3	1998	Lost In Space	80	69.117629	136.047317
7	30	2004	The Manchurian Candidate	80	65.948711	96.148711
11	22	2006	Déjà Vu	80	64.038616	181.038616
6	24	2005	Bewitched	80	63.313159	131.159306
1	1	2000	Fantasia 2000 (IMAX)	80	60.507228	60.507228
3	8	2002	The Time Machine	80	56.684819	98.98359
10	2	1998	What Dreams May Come	80	55.485043	71.485043
12	25	1998	Mighty Joe Young	80	50.632037	50.632037
10	28	2005	The Legend of Zorro	80	45.575336	141.475336
11	10	2000	Little Nicky	80	39.442871	58.270391
9	25	2009	Surrogates	80	38.577772	119.66835
6	8	2001	Evolution	80	38.311134	98.341932
8	26	2005	The Brothers Grimm	80	37.899638	105.299638
12	13	1996	Mars Attacks!	80	37.771017	101.371017
4	14	2006	The Wild	80	37.384046	99.384046
12	20	2013	Walking with Dinosaurs	80	36.076121	130.58073
12	22	2000	Thirteen Days	80	34.566746	66.554547
12	6	1996	Daylight	80	32.90829	158.90829
2	21	2014	Pompeii	80	23.169033	94.569033
5	12	2000	Battlefield Earth: A Saga of the Year 3000	80	21.471685	29.725663
11	14	2003	Looney Tunes: Back in Action	80	20.95082	54.540662
12	18	2009	Nine	80	19.676965	53.508858
11	26	2003	Timeline	80	19.480739	26.703184
4	22	2010	Oceans	80	19.422319	82.522319
11	25	1998	Babe: Pig in the City	80	18.31986	69.13186
12	25	1997	The Postman	80	17.650704	17.650704
11	10	2000	Red Planet	80	17.48089	33.463969
12	15	2006	Arthur et les Minimoys	80	15.132763	110.10234
8	17	2007	The Invasion	80	15.074191	40.147042
6	16	2000	Fantasia 2000 (Theatrical Release)	80	9.10363	9.10363
9	2	2005	A Sound of Thunder	80	1.900451	6.300451
6	15	1994	The Lion King	79.3	422.78014	952.88014
2	10	2012	Journey 2: The Mysterious Island	79	103.86029	325.86029
12	21	2001	A Beautiful Mind	78	170.708996	317.668058
9	27	2013	Cloudy with a Chance of Meatballs 2	78	119.793567	274.378414
10	4	2002	Red Dragon	78	92.95542	206.45542
3	5	2004	Hidalgo	78	67.286731	107.336658
7	11	2003	The League of Extraordinary Gentlemen	78	66.465204	179.265204
8	20	2004	Exorcist: The Beginning	78	41.814863	43.957541
10	17	2012	Astérix et Obélix: Au service de Sa Majesté	77.6	0	60.680125
7	2	2013	Despicable Me 2	76	368.065385	970.377487
6	6	2003	2 Fast 2 Furious	76	127.120058	236.220058
12	25	2006	Children of Men	76	35.552383	69.450202
6	30	2000	The Adventures of Rocky & Bullwinkle	76	26.00061	35.12961
7	2	1996	Independence Day	75	306.169255	817.400878
5	22	1997	The Lost World: Jurassic Park	75	229.086679	786.686679
3	31	2006	Ice Age: The Meltdown	75	195.330621	651.899282
5	27	2005	Madagascar	75	193.595521	556.559566
6	25	2010	Grown Ups	75	162.001186	272.22343
10	1	2004	Shark Tale	75	161.412	367.825111
7	14	2000	X-Men	75	157.299717	296.339717
6	27	2008	Wanted	75	134.508551	342.41646
6	7	1996	The Rock	75	134.069511	336.069511
2	13	2004	50 First Dates	75	120.776832	196.324496
7	20	2007	Hairspray	75	118.871849	202.871849
5	31	2013	Now You See Me	75	117.723989	351.723989
12	15	2006	Dreamgirls	75	103.365956	154.965956
